,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy
31,31,서울특별시 종로구 와룡동,종로구,와룡동,0.0,0.0,0.0,0.21,0.13,0.12,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,1,0,0,0,0,3,익선동,신영동,무학동,37.574082,126.989819,37.602696,126.961378,37.564149,127.015091
32,32,서울특별시 종로구 권농동,종로구,권농동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0,팔판동,화동,송현동,37.582882,126.980836,37.580693,126.982268,37.577322,126.982187
33,33,서울특별시 종로구 운니동,종로구,운니동,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,0,0,0,0,2,가회동,원효로2가,원효로3가,37.582235,126.984666,37.536307,126.963165,37.534140,126.956862
34,34,서울특별시 종로구 익선동,종로구,익선동,0.0,0.0,0.0,0.21,0.13,0.12,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,1,0,0,0,0,3,신영동,무학동,동소문동4가,37.602696,126.961378,37.564149,127.015091,37.591541,127.010756
35,35,서울특별시 종로구 경운동,종로구,경운동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1999.0,1899.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1,사간동,예지동,남산동2가,37.577668,126.980593,37.569643,126.997971,37.558534,126.985813
36,36,서울특별시 종로구 관철동,종로구,관철동,0.0,0.0,0.0,0.85,0.27,0.25,0.87,0.0,0.0,0.0,2.24,0.0,0.0,0.0,3690,3913,106.0,0,0,0,4,2,2,2,0,0,0,10,청진동,당산동3가,세곡동,37.571886,126.980676,37.525551,126.896668,37.466494,127.103021
37,37,서울특별시 종로구 인사동,종로구,인사동,0.0,0.0,0.0,0.21,0.13,0.0,0.43,0.0,0.0,0.0,0.78,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,0,1,0,0,0,3,금호동2가,송정동,사직동,37.552482,127.020133,37.552124,127.067652,37.573711,126.966295
38,38,서울특별시 종로구 낙원동,종로구,낙원동,0.0,0.0,0.0,0.43,0.4,0.12,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,3,1,0,0,0,0,6,태평로1가,명륜1가,동선동2가,37.568174,126.976805,37.588347,126.997733,37.590091,127.020053
39,39,서울특별시 종로구 종로2가,종로구,종로2가,0.0,1.25,3.33,0.21,0.13,0.12,0.87,0.0,0.0,0.0,5.92,0.0,0.0,0.0,3690,3913,106.0,0,1,1,1,1,1,2,0,0,0,7,구산동,한강로2가,거여동,37.611390,126.910297,37.531715,126.970242,37.494161,127.145196
40,40,서울특별시 종로구 팔판동,종로구,팔판동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0,화동,송현동,훈정동,37.580693,126.982268,37.577322,126.982187,37.570980,126.995131
41,41,서울특별시 종로구 삼청동,종로구,삼청동,0.0,0.0,0.0,0.0,0.13,0.12,0.43,0.0,0.0,0.0,0.69,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,1,0,0,0,3,계동,광희동1가,수하동,37.581321,126.987016,37.565194,127.005069,37.567242,126.984082
42,42,서울특별시 종로구 안국동,종로구,안국동,3.33,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,3.55,0.0,0.0,0.0,3690,3913,106.0,1,0,0,1,0,0,0,0,0,0,2,을지로2가,연남동,회현동3가,37.565757,126.985892,37.562962,126.921783,37.560060,126.984082
43,43,서울특별시 종로구 소격동,종로구,소격동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1,장사동,만리동1가,동소문동3가,37.569411,126.993830,37.556408,126.967319,37.590052,127.010816
44,44,서울특별시 종로구 화동,종로구,화동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0,송현동,훈정동,봉익동,37.577322,126.982187,37.570980,126.995131,37.572398,126.992873
45,45,서울특별시 종로구 사간동,종로구,사간동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1,예지동,남산동2가,의주로1가,37.569643,126.997971,37.558534,126.985813,37.564783,126.968176
46,46,서울특별시 종로구 송현동,종로구,송현동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0,훈정동,봉익동,홍파동,37.570980,126.995131,37.572398,126.992873,37.571862,126.965154
47,47,서울특별시 종로구 가회동,종로구,가회동,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,0,0,0,0,2,원효로2가,원효로3가,안암동4가,37.536307,126.963165,37.534140,126.956862,37.580811,127.024633
48,48,서울특별시 종로구 재동,종로구,재동,0.0,0.0,0.0,0.0,0.0,0.12,0.43,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,1,0,0,0,2,연지동,정동,안암동2가,37.573590,126.999447,37.566905,126.972078,37.586638,127.022973
49,49,서울특별시 종로구 계동,종로구,계동,0.0,0.0,0.0,0.0,0.13,0.12,0.43,0.0,0.0,0.0,0.69,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,1,0,0,0,3,광희동1가,수하동,광희동2가,37.565194,127.005069,37.567242,126.984082,37.563799,127.008655
50,50,서울특별시 종로구 원서동,종로구,원서동,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,2,0,0,0,0,0,2,구기동,만리동2가,응봉동,37.609211,126.957246,37.553986,126.964150,37.551169,127.031462
51,51,서울특별시 종로구 훈정동,종로구,훈정동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0,봉익동,홍파동,,37.572398,126.992873,37.571862,126.965154,,
52,52,서울특별시 종로구 묘동,종로구,묘동,0.0,0.0,0.0,0.21,0.27,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,2,0,0,0,0,0,3,행촌동,공평동,와룡동,37.574294,126.962469,37.571692,126.982996,37.576950,126.991141
53,53,서울특별시 종로구 봉익동,종로구,봉익동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,0,0,0,0,0,0,홍파동,,남대문로2가,37.571862,126.965154,,,37.563785,126.981752
54,54,서울특별시 종로구 돈의동,종로구,돈의동,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,5.0,5.43,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,0,0,0,0,0,1,3,성수동1가,하월곡동,회현동1가,37.544661,127.046772,37.605662,127.035753,37.557439,126.980748
55,55,서울특별시 종로구 장사동,종로구,장사동,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,0,1,0,0,0,0,1,만리동1가,동소문동3가,삼선동3가,37.556408,126.967319,37.590052,127.010816,37.586298,127.012802
56,56,서울특별시 종로구 관수동,종로구,관수동,0.0,0.0,0.0,0.43,0.13,0.25,0.87,0.0,0.0,0.0,1.68,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,1,2,2,0,0,0,7,도림동,용강동,우면동,37.509277,126.902494,37.541967,126.940414,37.466629,127.021892
57,57,서울특별시 종로구 종로3가,종로구,종로3가,3.33,0.0,0.0,0.0,0.27,0.0,0.43,0.0,0.0,0.0,4.03,0.0,0.0,0.0,3690,3913,106.0,1,0,0,0,2,0,1,0,0,0,4,회기동,휘경동,충무로4가,37.591447,127.051971,37.589592,127.061228,37.562463,126.995255
58,58,서울특별시 종로구 인의동,종로구,인의동,0.0,0.0,0.0,0.43,0.0,0.12,0.43,0.0,0.0,0.0,0.99,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,0,1,1,0,0,0,4,효창동,낙원동,태평로1가,37.543291,126.961214,37.572558,126.988732,37.568174,126.976805
59,59,서울특별시 종로구 예지동,종로구,예지동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1,남산동2가,의주로1가,동선동5가,37.558534,126.985813,37.564783,126.968176,37.596185,127.016726
60,60,서울특별시 종로구 원남동,종로구,원남동,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,0,0,0,0,0,1,송월동,남대문로3가,봉래동1가,37.569779,126.965760,37.561033,126.978259,37.558687,126.972589
61,61,서울특별시 종로구 연지동,종로구,연지동,0.0,0.0,0.0,0.43,0.13,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,1,0,0,0,0,0,3,정동,안암동2가,장교동,37.566905,126.972078,37.586638,127.022973,37.567116,126.987193
62,62,서울특별시 종로구 종로4가,종로구,종로4가,0.0,0.0,0.0,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,0,0,0,0,0,2,이화동,충신동,주교동,37.577066,127.006358,37.575189,127.006471,37.568136,126.999252
63,63,서울특별시 종로구 효제동,종로구,효제동,0.0,0.0,0.0,0.0,0.4,0.25,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,3,2,0,0,0,0,5,남대문로1가,본동,한강로1가,37.567451,126.982976,37.511491,126.954336,37.534384,126.973765
64,64,서울특별시 종로구 종로5가,종로구,종로5가,0.0,0.0,0.0,0.21,0.13,0.25,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,2,0,0,0,0,4,종로6가,홍지동,항동,37.572572,127.006996,37.600310,126.957773,37.484059,126.822980
65,65,서울특별시 종로구 종로6가,종로구,종로6가,0.0,0.0,0.0,0.21,0.27,0.12,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,2,1,0,0,0,0,4,홍지동,항동,문래동5가,37.600310,126.957773,37.484059,126.822980,37.515863,126.885676
66,66,서울특별시 종로구 이화동,종로구,이화동,0.0,0.0,0.0,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,0,0,0,0,0,2,충신동,주교동,인현동1가,37.575189,127.006471,37.568136,126.999252,37.564472,126.994232
67,67,서울특별시 종로구 연건동,종로구,연건동,0.0,0.0,0.0,0.21,0.4,0.25,0.43,0.0,0.0,0.0,1.3,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,3,2,1,0,0,0,7,자곡동,충무로5가,금호동4가,37.476796,127.100387,37.562923,126.999921,37.547468,127.020060
