,Unnamed: 0,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy,elementary_count,middle_count,high_count,park_count,station
136,136,136,서울특별시 중구 쌍림동,중구,쌍림동,0.0,0.0,0.0,0.43,0.13,0.12,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,4030,2679,66.5,0,0,0,2,1,1,0,0,0,0,4,오장동,청파동1가,용문동,37.564685,127.0007,37.54887,126.967046,37.537571,126.95993600000001,0,0,0,0,[]
137,137,137,서울특별시 중구 을지로6가,중구,을지로6가,0.0,1.25,0.0,1.06,0.67,0.25,0.87,0.0,10.0,5.0,19.1,0.0,0.0,0.0,4030,2679,66.5,0,1,0,5,5,2,2,0,1,1,17,상암동,공릉동,청담동,37.577131,126.89348799999999,37.623601,127.07738799999998,37.523404,127.04685800000001,0,0,0,0,[]
138,138,138,서울특별시 중구 을지로7가,중구,을지로7가,0.0,0.0,0.0,0.0,0.13,0.25,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,1,2,0,0,0,0,3,홍익동,안암동1가,보문동2가,37.566144,127.032921,37.588392999999996,127.021456,37.585602,127.01830600000001,0,1,0,0,['동대문역사문화공원역 2호선']
139,139,139,서울특별시 중구 을지로4가,중구,을지로4가,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,0,2,0,0,0,0,2,안암동3가,보문동1가,천왕동,37.583915000000005,127.02328,37.586226,127.019779,37.482015999999994,126.84178899999999,0,0,0,0,"['을지로4가역 2호선', '을지로4가역 5호선']"
140,140,140,서울특별시 중구 을지로5가,중구,을지로5가,0.0,0.0,0.0,0.0,0.27,0.25,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,2,2,0,0,0,0,4,현석동,내곡동,필운동,37.54384,126.933903,37.456881,127.07417099999999,37.577076,126.968848,0,0,0,1,[]
141,141,141,서울특별시 중구 주교동,중구,주교동,0.0,0.0,0.0,0.21,0.13,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,4030,2679,66.5,0,0,0,1,1,0,0,0,0,0,2,인현동1가,원효로4가,보문동6가,37.564471999999995,126.99423200000001,37.533504,126.95276299999999,37.580444,127.019694,0,0,0,0,[]
142,142,142,서울특별시 중구 방산동,중구,방산동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,0,0,0,0,0,0,0,입정동,의주로2가,0,37.567709,126.99304199999999,37.559382,126.96998500000001,0.0,0.0,0,0,0,0,[]
143,143,143,서울특별시 중구 오장동,중구,오장동,0.0,0.0,0.0,0.43,0.13,0.12,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,4030,2679,66.5,0,0,0,2,1,1,0,0,0,0,4,청파동1가,용문동,통의동,37.54887,126.967046,37.537571,126.95993600000001,37.578307,126.972872,0,0,0,0,[]
144,144,144,서울특별시 중구 을지로3가,중구,을지로3가,0.0,0.0,0.0,0.64,0.27,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,4030,2679,66.5,0,0,0,3,2,0,0,0,0,0,5,문배동,동빙고동,당산동,37.536423,126.969346,37.523599,126.995949,37.528625,126.907439,0,0,0,0,"['을지로3가역 2호선', '을지로3가역 3호선']"
145,145,145,서울특별시 중구 입정동,중구,입정동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,0,0,0,0,0,0,0,의주로2가,0,용산동4가,37.559382,126.96998500000001,0.0,0.0,37.534964,126.986876,0,0,0,0,[]
