,address,gu,dong,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count
369,서울특별시 강서구 가양동,강서구,가양동,0,0,1,2,9,10,0,0,0,0,22
370,서울특별시 강서구 마곡동,강서구,마곡동,0,2,1,17,29,29,5,0,1,0,84
371,서울특별시 강서구 내발산동,강서구,내발산동,0,0,1,6,9,10,1,0,0,0,27
372,서울특별시 강서구 외발산동,강서구,외발산동,0,0,0,0,2,0,0,0,0,0,2
373,서울특별시 강서구 공항동,강서구,공항동,1,3,0,5,9,11,0,0,0,0,29
374,서울특별시 강서구 방화동,강서구,방화동,0,3,0,15,18,15,1,1,0,0,53
375,서울특별시 강서구 개화동,강서구,개화동,0,0,0,1,1,1,0,0,0,0,3
376,서울특별시 강서구 과해동,강서구,과해동,0,0,0,0,2,0,0,0,0,0,2
377,서울특별시 강서구 오곡동,강서구,오곡동,0,0,0,0,1,0,0,0,0,0,1
378,서울특별시 강서구 오쇠동,강서구,오쇠동,0,0,0,0,0,0,0,0,0,0,0
379,서울특별시 구로구,,,0,0,0,0,0,0,0,0,0,0,0
380,서울특별시 구로구 신도림동,구로구,신도림동,1,1,0,5,6,8,3,1,0,0,25
381,서울특별시 구로구 구로동,구로구,구로동,2,2,3,26,43,43,6,0,0,1,126
382,서울특별시 구로구 가리봉동,구로구,가리봉동,0,0,0,2,4,2,0,0,0,0,8
383,서울특별시 구로구 고척동,구로구,고척동,1,1,0,8,8,14,0,0,0,0,32
384,서울특별시 구로구 개봉동,구로구,개봉동,0,1,1,8,10,13,0,0,0,0,33
385,서울특별시 구로구 오류동,구로구,오류동,0,2,0,8,10,17,1,0,0,0,38
386,서울특별시 구로구 궁동,구로구,궁동,0,0,0,2,2,3,0,0,0,0,7
387,서울특별시 구로구 온수동,구로구,온수동,0,0,0,0,5,6,0,0,0,0,11
388,서울특별시 구로구 천왕동,구로구,천왕동,0,0,0,0,0,2,0,0,0,0,2
389,서울특별시 구로구 항동,구로구,항동,0,0,0,1,1,2,0,0,0,0,4
390,서울특별시 금천구,,,0,0,0,0,0,0,0,0,0,0,0
391,서울특별시 금천구 가산동,금천구,가산동,3,1,3,15,30,28,7,1,0,0,88
392,서울특별시 금천구 독산동,금천구,독산동,0,1,1,15,25,30,2,1,0,0,75
393,서울특별시 금천구 시흥동,금천구,시흥동,1,1,0,10,22,25,1,0,0,0,60
394,서울특별시 영등포구,,,0,0,0,0,0,0,0,0,0,0,0
395,서울특별시 영등포구 영등포동,영등포구,영등포동,0,2,0,5,2,4,0,2,0,0,15
396,서울특별시 영등포구 영등포동1가,영등포구,영등포동1가,0,0,0,2,3,2,1,0,0,0,8
397,서울특별시 영등포구 영등포동2가,영등포구,영등포동2가,0,0,0,1,3,1,0,0,0,0,5
398,서울특별시 영등포구 영등포동3가,영등포구,영등포동3가,1,0,0,6,3,4,1,0,0,0,15
399,서울특별시 영등포구 영등포동4가,영등포구,영등포동4가,0,1,0,2,1,7,4,0,0,1,16
400,서울특별시 영등포구 영등포동5가,영등포구,영등포동5가,0,0,0,1,1,1,0,0,0,0,3
401,서울특별시 영등포구 영등포동6가,영등포구,영등포동6가,0,0,0,0,1,2,0,0,0,0,3
402,서울특별시 영등포구 영등포동7가,영등포구,영등포동7가,0,0,0,1,5,2,0,0,0,0,8
403,서울특별시 영등포구 영등포동8가,영등포구,영등포동8가,0,0,1,2,2,0,1,0,0,0,6
404,서울특별시 영등포구 여의도동,영등포구,여의도동,1,2,1,20,22,26,19,0,0,1,92
405,서울특별시 영등포구 당산동1가,영등포구,당산동1가,0,0,0,3,1,3,0,0,0,0,7
406,서울특별시 영등포구 당산동2가,영등포구,당산동2가,0,0,0,0,2,4,0,0,0,0,6
407,서울특별시 영등포구 당산동3가,영등포구,당산동3가,0,0,0,3,6,6,0,0,0,0,15
408,서울특별시 영등포구 당산동4가,영등포구,당산동4가,0,0,0,0,2,6,0,0,0,0,8
